# N=100  D=15  Area=100
# id x y
0 50 50
1 37 24
2 14 37
3 59 15
4 26 56
5 42 62
6 48 5
7 71 11
8 1 38
9 51 71
10 68 69
11 16 43
12 99 20
13 8 88
14 28 36
15 89 83
16 17 21
17 69 45
18 7 43
19 56 16
20 54 91
21 20 32
22 44 87
23 40 21
24 25 86
25 18 9
26 25 76
27 81 2
28 59 36
29 50 29
30 78 54
31 39 48
32 38 20
33 76 35
34 41 62
35 29 73
36 47 50
37 96 8
38 7 0
39 65 69
40 1 71
41 9 72
42 53 96
43 43 29
44 17 51
45 46 50
46 94 37
47 0 43
48 60 85
49 25 84
50 46 55
51 50 76
52 70 74
53 65 8
54 50 58
55 11 65
56 26 14
57 28 52
58 74 79
59 100 12
60 26 55
61 62 93
62 68 76
63 54 90
64 78 62
65 40 16
66 0 84
67 0 95
68 25 83
69 13 44
70 92 70
71 9 55
72 48 59
73 57 57
74 31 41
75 90 45
76 1 45
77 69 70
78 75 80
79 35 44
80 51 65
81 1 27
82 16 91
83 63 98
84 38 87
85 4 39
86 63 36
87 50 48
88 14 57
89 16 8
90 29 33
91 15 42
92 22 47
93 76 8
94 33 74
95 59 65
96 48 63
97 93 7
98 58 99
99 57 67
